loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
849,849,12.7.2023, 011:45:35.00,4.72,37.438583,24.945831,8.75,-35.28,58.11,166.07,162.91,-3.16,6.7,84,84,1500,1
853,853,12.7.2023, 011:45:36.00,4.17,37.438572,24.945833,12.41,-37.72,58.11,161.79,160.74,-1.05,5.57,84,84,1500,1
856,856,12.7.2023, 011:45:37.00,4.26,37.43856,24.945835,12.41,-36.5,59.29,161.23,157.32,-3.91,4.44,84,84,1500,1
860,860,12.7.2023, 011:45:38.00,4.67,37.438549,24.945839,16.06,-35.28,58.11,155.52,153.96,-1.56,2.92,84,84,1500,1
862,862,12.7.2023, 011:45:39.00,4.33,37.438538,24.945843,16.06,-35.28,60.46,155.52,141.55,-13.97,1.77,72,72,1500,0
866,866,12.7.2023, 011:45:42.00,3.33,37.438511,24.945854,34.34,-17.0,58.11,116.34,347.69,-128.65,125.15,30,30,1500,0
870,870,12.7.2023, 011:45:43.00,2.37,37.438503,24.945858,46.53,11.03,58.11,76.66,347.63,-89.03,125.96,30,30,1500,0
874,874,12.7.2023, 011:45:44.00,2.3,37.438499,24.945864,33.13,36.63,59.29,42.13,347.42,-54.71,126.46,36,35,1496,0
878,878,12.7.2023, 011:45:45.00,1.76,37.438499,24.945869,11.19,50.03,59.29,12.6,347.2,-25.41,126.56,60,60,1500,0
882,882,12.7.2023, 011:45:46.00,2.15,37.438503,24.945873,-9.53,53.69,55.76,349.93,347.03,-2.91,126.26,78,78,1500,0
886,886,12.7.2023, 011:45:47.00,2.98,37.438511,24.945877,-11.97,47.59,56.93,345.88,346.75,0.86,125.62,84,82,1488,0
890,890,12.7.2023, 011:45:48.00,3.56,37.438519,24.945875,-20.5,47.59,58.11,336.7,346.8,10.11,124.81,90,90,1500,0
894,894,12.7.2023, 011:45:49.00,3.54,37.43853,24.945871,-19.28,46.38,58.11,337.42,346.78,9.36,123.27,90,90,1500,0
898,898,12.7.2023, 011:45:50.00,3.24,37.438534,24.945866,-5.88,45.16,62.81,352.59,346.96,-5.62,122.79,78,138,2000,0
901,901,12.7.2023, 011:45:51.00,2.65,37.438541,24.945866,13.63,45.16,63.99,16.79,346.9,-29.89,122.05,54,114,2000,0
903,903,12.7.2023, 011:45:52.00,2.67,37.438549,24.945868,23.38,48.81,56.93,25.59,346.71,-38.88,121.35,48,30,996,0
907,907,12.7.2023, 011:45:53.00,2.7,37.438553,24.945873,-7.09,51.25,59.29,352.12,346.46,-5.66,121.08,78,70,1436,0
911,911,12.7.2023, 011:45:54.00,2.78,37.43856,24.945873,-16.84,46.38,58.11,340.04,346.36,6.32,119.98,90,90,1500,0
915,915,12.7.2023, 011:45:55.00,3.46,37.438568,24.945871,-14.41,46.38,60.46,342.74,346.32,3.58,119.2,84,83,1496,0
919,919,12.7.2023, 011:45:56.00,3.43,37.438576,24.945868,-16.84,42.72,61.64,338.48,346.37,7.89,118.39,90,90,1500,0
923,923,12.7.2023, 011:45:57.00,4.07,37.438583,24.945862,-22.94,39.06,59.29,329.58,346.52,16.94,117.55,90,90,1500,0
927,927,12.7.2023, 011:45:58.00,3.28,37.438595,24.945858,-33.91,39.06,53.41,319.04,346.52,27.48,115.97,102,150,2000,0
931,931,12.7.2023, 011:45:59.00,2.87,37.438599,24.945852,-35.13,32.97,59.29,313.19,346.74,33.55,115.49,108,108,1508,0
935,935,12.7.2023, 011:46:00.00,2.87,37.438602,24.945845,-31.47,35.41,56.93,318.37,346.97,28.6,114.99,102,42,1000,0
939,939,12.7.2023, 011:46:01.00,2.72,37.43861,24.945837,-36.34,20.78,62.81,299.76,347.25,47.49,114.08,120,60,1000,0
942,942,12.7.2023, 011:46:02.00,2.7,37.43861,24.945829,-30.25,34.19,60.46,318.5,347.57,29.07,113.95,102,150,1996,0
944,944,12.7.2023, 011:46:03.00,2.44,37.438614,24.945824,-9.53,43.94,61.64,347.76,347.82,0.06,113.45,84,30,1000,0
948,948,12.7.2023, 011:46:04.00,1.8,37.438618,24.945822,-15.63,50.03,56.93,342.66,347.84,5.18,113.04,90,90,1500,0
952,952,12.7.2023, 011:46:05.00,2.74,37.438622,24.94582,-31.47,41.5,59.29,322.83,347.85,25.02,112.64,102,123,1680,0
