loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
5888,5888,12.7.2023, 010:57:34.00,5.43,37.439152,24.945782,-7.09,46.38,60.46,351.3,357.53,6.23,55.49,90,90,0,0
5892,5892,12.7.2023, 010:57:35.00,5.19,37.439167,24.945782,-7.09,42.72,63.99,350.57,357.45,6.88,53.98,90,90,0,0
5896,5896,12.7.2023, 010:57:36.00,5.17,37.439178,24.94578,-8.31,45.16,62.81,349.57,357.56,7.99,52.83,90,90,0,0
5900,5900,12.7.2023, 010:57:37.00,5.22,37.439194,24.945778,-8.31,43.94,65.16,349.29,357.81,8.52,50.92,90,90,0,0
5904,5904,12.7.2023, 010:57:38.00,5.24,37.439205,24.945776,-8.31,45.16,61.64,349.57,357.93,8.36,49.78,90,90,0,0
5908,5908,12.7.2023, 010:57:39.00,5.35,37.43922,24.945774,-5.88,45.16,62.81,352.59,358.04,5.45,47.88,90,90,0,0
5910,5910,12.7.2023, 010:57:40.00,5.28,37.439232,24.945774,-9.53,46.38,65.16,348.39,357.98,9.6,46.74,90,90,0,0
5914,5914,12.7.2023, 010:57:41.00,5.33,37.439247,24.945772,-9.53,46.38,62.81,348.39,358.09,9.7,44.83,96,96,0,0
5918,5918,12.7.2023, 010:57:42.00,5.17,37.439259,24.94577,-5.88,46.38,62.81,352.78,358.24,5.46,43.69,90,90,0,0
5922,5922,12.7.2023, 010:57:43.00,5.22,37.43927,24.94577,-1.0,50.03,62.81,358.85,358.19,-0.67,42.55,90,90,0,0
5926,5926,12.7.2023, 010:57:44.00,5.35,37.439285,24.94577,-2.22,47.59,65.16,357.33,358.11,0.78,40.65,90,90,0,0
5929,5929,12.7.2023, 010:57:45.00,5.35,37.439297,24.94577,-2.22,46.38,63.99,357.26,358.04,0.78,39.52,90,90,0,0
5931,5931,12.7.2023, 010:57:46.00,5.0,37.439312,24.94577,-2.22,46.38,62.81,357.26,357.95,0.69,37.62,90,90,0,0
5935,5935,12.7.2023, 010:57:47.00,5.26,37.439323,24.94577,-3.44,47.59,63.99,355.87,357.89,2.02,36.48,90,90,0,0
5939,5939,12.7.2023, 010:57:48.00,5.5,37.439339,24.94577,-2.22,47.59,61.64,357.33,357.81,0.48,34.96,90,90,0,0
5943,5943,12.7.2023, 010:57:49.00,5.09,37.43935,24.945772,-2.22,47.59,62.81,357.33,357.45,0.12,33.45,90,90,0,0
5947,5947,12.7.2023, 010:57:50.00,5.2,37.439365,24.945774,0.22,46.38,60.46,0.27,357.06,-3.21,31.94,90,90,0,0
5950,5950,12.7.2023, 010:57:51.00,5.56,37.439377,24.945776,0.22,47.59,63.99,0.26,356.63,-3.63,30.43,90,90,0,0
5952,5952,12.7.2023, 010:57:52.00,5.02,37.439392,24.945776,0.22,46.38,62.81,0.27,356.46,-3.81,28.92,90,90,0,0
5955,5955,12.7.2023, 010:57:53.00,5.2,37.439404,24.945776,-5.88,48.81,61.64,353.14,356.34,3.2,27.78,90,90,0,0
5959,5959,12.7.2023, 010:57:54.00,5.46,37.439415,24.945776,-4.66,50.03,61.64,354.68,356.13,1.45,26.26,90,90,0,0
5963,5963,12.7.2023, 010:57:55.00,5.35,37.43943,24.945776,-3.44,46.38,62.81,355.76,355.87,0.11,24.75,90,90,0,0
5967,5967,12.7.2023, 010:57:56.00,5.11,37.439445,24.945774,-7.09,47.59,61.64,351.52,355.87,4.35,22.84,90,90,0,0
5971,5971,12.7.2023, 010:57:57.00,5.54,37.439457,24.945774,-5.88,48.81,62.81,353.14,355.66,2.52,21.71,90,90,0,0
5973,5973,12.7.2023, 010:57:58.00,5.44,37.439472,24.945772,-5.88,48.81,65.16,353.14,355.76,2.62,19.8,90,90,0,0
5977,5977,12.7.2023, 010:57:59.00,5.17,37.439484,24.945772,-5.88,47.59,61.64,352.96,355.46,2.5,18.67,90,90,0,0
5981,5981,12.7.2023, 010:58:00.00,5.2,37.439499,24.94577,-5.88,43.94,61.64,352.38,355.61,3.22,17.14,90,90,0,0
5985,5985,12.7.2023, 010:58:01.00,5.35,37.43951,24.94577,-5.88,45.16,63.99,352.59,355.14,2.55,15.63,90,90,0,0
5989,5989,12.7.2023, 010:58:02.00,5.54,37.439526,24.945766,-11.97,46.38,61.64,345.53,355.82,10.29,14.09,96,96,0,0
5993,5993,12.7.2023, 010:58:03.00,5.26,37.439537,24.945766,-8.31,46.38,61.64,349.84,355.46,5.62,12.95,90,90,0,0
5995,5995,12.7.2023, 010:58:04.00,5.33,37.439552,24.945765,-5.88,47.59,63.99,352.96,355.46,2.5,11.05,90,90,0,0
5999,5999,12.7.2023, 010:58:05.00,5.57,37.439564,24.945765,-5.88,46.38,61.64,352.78,354.86,2.08,9.91,90,90,0,0
6003,6003,12.7.2023, 010:58:06.00,5.3,37.439579,24.945765,-2.22,46.38,61.64,357.26,353.37,-3.89,8.03,90,90,0,0
6007,6007,12.7.2023, 010:58:07.00,5.24,37.43959,24.945765,-3.44,46.38,61.64,355.76,352.66,-3.1,6.89,90,90,0,0
6011,6011,12.7.2023, 010:58:08.00,5.32,37.439606,24.945763,-7.09,46.38,63.99,351.3,353.29,1.99,4.97,90,90,0,0
6015,6015,12.7.2023, 010:58:09.00,5.48,37.439617,24.945763,-4.66,46.38,62.81,354.27,350.98,-3.29,3.84,90,90,0,0
6017,6017,12.7.2023, 010:58:10.00,5.07,37.439632,24.945763,-4.66,47.59,61.64,354.41,343.9,-10.52,2.36,84,84,0,0
6021,6021,12.7.2023, 010:58:11.00,5.33,37.439644,24.945761,-7.09,47.59,63.99,351.52,338.35,-13.18,0.88,78,78,0,1
6025,6025,12.7.2023, 010:58:14.00,3.72,37.439678,24.945751,-36.34,29.31,60.46,308.89,251.22,-57.67,37.86,36,36,0,1
6030,6030,12.7.2023, 010:58:15.00,3.24,37.439682,24.945744,-43.66,-7.25,58.11,260.57,250.01,-10.56,37.28,78,78,0,1
6034,6034,12.7.2023, 010:58:16.00,4.44,37.439682,24.94573,-36.34,-19.44,59.29,241.86,249.72,7.86,36.29,90,90,0,1
6036,6036,12.7.2023, 010:58:17.00,5.02,37.439678,24.945717,-37.56,-18.22,60.46,244.13,249.33,5.21,35.03,90,90,0,1
6040,6040,12.7.2023, 010:58:18.00,5.67,37.439671,24.945702,-38.78,-18.22,59.29,244.84,249.73,4.89,33.49,90,90,0,1
6044,6044,12.7.2023, 010:58:19.00,5.43,37.439663,24.945686,-38.78,-21.88,55.76,240.57,250.48,9.91,31.83,90,90,0,1
6049,6049,12.7.2023, 010:58:20.00,5.5,37.439655,24.945671,-37.56,-19.44,58.11,242.64,251.32,8.68,30.3,90,90,0,1
6053,6053,12.7.2023, 010:58:21.00,5.56,37.439648,24.945656,-33.91,-19.44,58.11,240.18,252.25,12.08,28.77,96,96,0,1
6056,6056,12.7.2023, 010:58:22.00,5.61,37.439644,24.945639,-36.34,-19.44,56.93,241.86,251.66,9.8,27.22,90,90,0,1
6058,6058,12.7.2023, 010:58:23.00,5.72,37.439636,24.945623,-32.69,-19.44,58.11,239.26,252.32,13.06,25.69,96,96,0,1
6062,6062,12.7.2023, 010:58:24.00,5.67,37.439629,24.945608,-37.56,-20.66,56.93,241.19,254.36,13.17,24.06,96,96,0,1
6066,6066,12.7.2023, 010:58:25.00,5.52,37.439621,24.945593,-37.56,-19.44,59.29,242.64,255.3,12.66,22.54,96,96,0,1
